Datetime (PST),EXO SpCond µS/cm,RBR SpCond µS/cm,Manta SpCond µS/cm
2016-09-20 15:00:00,903.1,909.0235984,881.5
2016-09-20 16:00:00,903.3,909.4138094,881.8
2016-09-20 17:00:00,903.5,909.8598129,882.1
2016-09-20 18:00:00,903.8,910.2839609,882.4
2016-09-20 19:00:00,904.1,910.4183339,882.7
2016-09-20 20:00:00,904.2,910.8452297,883
2016-09-20 21:00:00,904.4,911.0017924,883.2
2016-09-20 22:00:00,904.4,911.2185582,883.3
2016-09-20 23:00:00,904.7,911.5104235,883.6
2016-09-21 00:00:00,904.8,911.7003791,883.8
2016-09-21 01:00:00,905,912.0137566,884.1
2016-09-21 02:00:00,905.2,912.3055287,884.3
2016-09-21 03:00:00,905.4,912.4240623,884.5
2016-09-21 04:00:00,905.5,912.7128861,884.6
2016-09-21 05:00:00,905.7,912.8714555,885
2016-09-21 06:00:00,905.9,913.0472724,885.1
2016-09-21 07:00:00,906,913.2921902,885.5
2016-09-21 08:00:00,906.2,913.6097306,885.5
2016-09-21 09:00:00,906.35,913.7450792,885.7
2016-09-21 10:00:00,906.6,914.0055218,886
2016-09-21 11:00:00,906.8,914.2385806,886.1
2016-09-21 12:00:00,906.9,914.3927672,886.4
2016-09-21 13:00:00,907.1,914.5917591,886.6
2016-09-21 14:00:00,907.3,914.8686978,886.8
2016-09-21 15:00:00,907.5,915.0438973,887.1
2016-09-21 16:00:00,907.8,915.2867126,887.2
2016-09-21 17:00:00,907.8,915.5140914,887.3
2016-09-21 18:00:00,908.1,915.7613458,887.5
2016-09-21 19:00:00,908.2,915.9911174,887.8
2016-09-21 20:00:00,908.5,916.1339804,888
2016-09-21 21:00:00,908.6,916.311596,888.1
2016-09-21 22:00:00,908.8,916.5673732,888.3
2016-09-21 23:00:00,908.95,916.7678407,888.7
